,id_aluno,nome,idade,serie,sexo,nota_matematica,nota_portugues,frequencia,media,aprovado
65,66,Laís Farias,15,9º Ano,Feminino,"4,60","2,50","98,50","5,65",Não
66,67,Manuela da Cruz,9,3º Ano,Feminino,"4,20","4,00","60,30","4,74",Não
67,68,Daniela Costela,11,6º Ano,Feminino,"4,70","6,40","79,70","6,36",Não
68,69,Kamilly Freitas,12,6º Ano,Feminino,"0,10","3,60","71,50","3,62",Não
69,70,Ana Vitória Almeida,10,6º Ano,Feminino,"9,00","1,10","85,10","6,20",Não
70,71,Pietro Almeida,12,7º Ano,Masculino,"6,30","9,00","91,20","8,14",Sim
71,72,Júlia Cardoso,10,6º Ano,Feminino,"8,20","6,20","68,60","7,09",Sim
72,73,Marcela das Neves,13,9º Ano,Feminino,"9,70","0,70","77,90","6,06",Não
73,74,João Miguel Moura,7,2º Ano,Masculino,"2,30","9,10","85,30","6,64",Não
74,75,Maria Luiza Silva,10,6º Ano,Feminino,"5,60","8,10","98,80","7,86",Sim
75,76,Mirella Viana,11,5º Ano,Feminino,"6,20","9,00","87,40","7,98",Sim
76,77,Ana Carolina Farias,6,2º Ano,Feminino,"1,80","8,60","97,90","6,73",Não
77,78,Isabelly Nogueira,8,3º Ano,Feminino,"6,00","3,90","73,60","5,75",Não
78,79,Emilly Pereira,10,5º Ano,Feminino,"1,90","1,80","68,40","3,51",Não
79,80,Juliana Lima,14,9º Ano,Feminino,"0,50","6,70","82,50","5,15",Não
80,81,Maria Luiza Souza,9,5º Ano,Feminino,"4,10","4,40","77,40","5,41",Não
81,82,Mirella Viana,11,6º Ano,Feminino,"5,30","8,00","90,90","7,46",Sim
82,83,Heloísa Mendes,14,9º Ano,Feminino,"2,60","5,50","62,20","4,77",Não
83,84,Levi Azevedo,7,3º Ano,Masculino,"4,50","8,30","68,60","6,55",Não
84,85,Leonardo Nunes,15,9º Ano,Masculino,"1,30","5,60","94,20","5,44",Não
85,86,Felipe Teixeira,12,8º Ano,Masculino,"3,50","1,10","61,40","3,58",Não
86,87,Daniela Aragão,10,5º Ano,Feminino,"0,50","8,30","84,10","5,74",Não
87,88,Vinicius Fogaça,8,3º Ano,Masculino,"3,90","2,90","82,40","5,01",Não
88,89,Daniela Rezende,6,2º Ano,Feminino,"5,60","3,10","90,00","5,90",Não
89,90,Luiz Fernando da Luz,15,9º Ano,Masculino,"0,90","0,00","81,50","3,02",Não
90,91,Davi Luiz Vieira,13,8º Ano,Masculino,"8,90","3,00","82,70","6,72",Não
91,92,Samuel Campos,9,4º Ano,Masculino,"7,30","4,90","72,50","6,48",Não
92,93,Agatha Campos,12,7º Ano,Feminino,"8,20","0,30","89,10","5,80",Não
93,94,Bernardo Peixoto,7,3º Ano,Masculino,"9,70","1,90","75,80","6,39",Não
94,95,Pedro Lucas da Mata,14,9º Ano,Masculino,"7,10","1,20","86,50","5,65",Não
95,96,Julia das Neves,15,9º Ano,Feminino,"2,90","5,30","78,10","5,34",Não
96,97,João Ramos,6,1º Ano,Masculino,"9,90","7,10","71,80","8,06",Sim
97,98,Clarice da Mota,8,3º Ano,Feminino,"3,20","3,50","99,40","5,55",Não
98,99,Lucas Gabriel da Luz,11,5º Ano,Masculino,"4,50","1,20","63,60","4,02",Não
99,100,Ana Sophia Nunes,8,3º Ano,Feminino,"2,20","5,00","60,70","4,42",Não
